id,course_id,question,answer,topic,category,level,status,evidence_count,evidence_1_video_id,evidence_1_video_url,evidence_1_start_timestamp,evidence_1_end_timestamp,evidence_1_score,evidence_2_video_id,evidence_2_video_url,evidence_2_start_timestamp,evidence_2_end_timestamp,evidence_2_score,evidence_3_video_id,evidence_3_video_url,evidence_3_start_timestamp,evidence_3_end_timestamp,evidence_3_score,evidence_4_video_id,evidence_4_video_url,evidence_4_start_timestamp,evidence_4_end_timestamp,evidence_4_score,evidence_5_video_id,evidence_5_video_url,evidence_5_start_timestamp,evidence_5_end_timestamp,evidence_5_score,evidence_6_video_id,evidence_6_video_url,evidence_6_start_timestamp,evidence_6_end_timestamp,evidence_6_score,evidence_7_video_id,evidence_7_video_url,evidence_7_start_timestamp,evidence_7_end_timestamp,evidence_7_score,evidence_8_video_id,evidence_8_video_url,evidence_8_start_timestamp,evidence_8_end_timestamp,evidence_8_score,note
q011,CS114,"Để cho máy ảo trong Docker có quyền truy cập đến file mã nguồn, cần thực hiện bước nào?",Cần chia sẻ folder hiện tại working directory với máy ảo container.,Quyền truy cập file trong Docker,mechanism,medium,,3,8VA4C-TS2cQ,https://www.youtube.com/watch?v=8VA4C-TS2cQ,0:06:56,0:08:06,3,2AfXTKxyUd8,https://www.youtube.com/watch?v=2AfXTKxyUd8,0:02:55,0:04:02,3,cPenwbVXQGM,https://www.youtube.com/watch?v=cPenwbVXQGM,0:00:13,0:01:23,2,,,,,,,,,,,,,,,,,,,,,,,,,,
q012,CS114,"Điểm số 8,5 có thể được hiểu như thế nào trong các hệ thống giáo dục khác nhau?","Điểm số 8,5 có thể được coi là giỏi trong một số hệ thống nhưng lại có thể được xem là yếu trong các hệ thống khác, tùy thuộc vào cách tính điểm.",Đánh giá điểm số trong giáo dục,comparison,medium,,1,9bI07JfvEh8,https://www.youtube.com/watch?v=9bI07JfvEh8,0:06:24,0:07:21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q013,CS114,Độ dốc của hàm mất mát trở nên lớn khi nào và điều này ảnh hưởng như thế nào đến quá trình cập nhật tham số?,"Độ dốc trở nên lớn khi các giá trị bị sai số và lệch nhau, dẫn đến loss tăng cao.",Đạo hàm và hàm mất mát,mechanism,medium,,6,9Iv6TuyWU5g,https://www.youtube.com/watch?v=9Iv6TuyWU5g,0:01:20,0:02:20,3,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:21:20,0:22:07,3,xptu0eq_CXQ,https://www.youtube.com/watch?v=xptu0eq_CXQ,0:01:05,0:02:05,3,GRB4B1tWnEo,https://www.youtube.com/watch?v=GRB4B1tWnEo,0:04:43,0:05:43,3,wBAm3lczqXs,https://www.youtube.com/watch?v=wBAm3lczqXs,0:07:02,0:07:41,1,pCeNKsO8prM,https://www.youtube.com/watch?v=pCeNKsO8prM,0:10:21,0:11:18,2,,,,,,,,,,,
q014,CS114,Đạo hàm của hàm lỗi trở thành hàm tuyến tính trong trường hợp nào?,Trong trường hợp đạo hàm được tính theo các biến mô hình W và B.,Đạo hàm và hàm lỗi,mechanism,medium,,5,abEjEZwTp2o,https://www.youtube.com/watch?v=abEjEZwTp2o,0:01:51,0:03:05,3,JqHpAp-xdu0,https://www.youtube.com/watch?v=JqHpAp-xdu0,0:00:13,0:01:06,3,7IdTMLLCPxw,https://www.youtube.com/watch?v=7IdTMLLCPxw,0:01:50,0:02:48,3,8-3xv_NElG0,https://www.youtube.com/watch?v=8-3xv_NElG0,0:03:15,0:04:15,1,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:24:29,0:25:13,3,,,,,,,,,,,,,,,,
q015,CS114,Bước đầu tiên trong phương pháp PCA là gì khi xử lý dữ liệu?,"Bước đầu tiên là tịnh tiến hệ trục tọa độ về tâm của cụm dữ liệu, được xác định bởi giá trị trung bình.",Phương pháp PCA,mechanism,medium,,2,b8HuVAc0cb4,https://www.youtube.com/watch?v=b8HuVAc0cb4,0:06:21,0:07:11,3,7bb6IFBgtfw,https://www.youtube.com/watch?v=7bb6IFBgtfw,0:01:03,0:01:56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q016,CS114,Hiện tượng nào xảy ra khi một mô hình cố gắng điều chỉnh để phù hợp với dữ liệu huấn luyện nhưng lại không thể tổng quát hóa tốt cho dữ liệu mới?,"Hiện tượng này được gọi là ""overfitting"".",Overfitting trong học máy,definition,medium,,6,CB_v2ZxAyKw,https://www.youtube.com/watch?v=CB_v2ZxAyKw,0:02:12,0:03:18,3,q3oZyk3l8EU,https://www.youtube.com/watch?v=q3oZyk3l8EU,0:05:08,0:06:15,3,8b8OKHIktqI,https://www.youtube.com/watch?v=8b8OKHIktqI,0:12:32,0:13:47,3,Qj6HkeNtIuI,https://www.youtube.com/watch?v=Qj6HkeNtIuI,0:03:26,0:04:17,3,u3GD0b9vCDo,https://www.youtube.com/watch?v=u3GD0b9vCDo,0:01:02,0:01:54,1,xptu0eq_CXQ,https://www.youtube.com/watch?v=xptu0eq_CXQ,0:13:58,0:14:43,1,,,,,,,,,,,
q017,CS114,Bạn có thể giải thích sự khác biệt giữa GPU dành cho người dùng cá nhân và GPU dành cho máy chủ không?,"GPU dành cho người dùng cá nhân thường tập trung vào việc tăng tốc các thao tác xử lý đồ họa, trong khi GPU dành cho máy chủ thường được tối ưu hóa cho các tác vụ tính toán phức tạp hơn.",GPU,comparison,medium,,1,cPenwbVXQGM,https://www.youtube.com/watch?v=cPenwbVXQGM,0:01:27,0:02:24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q018,CS114,"Khi tính toán đạo hàm cho một tham số W, làm thế nào để xác định thành phần tương ứng của ma trận đầu vào X?","Thành phần tương ứng của ma trận đầu vào X được xác định bằng cách lấy cột tương ứng của X, ví dụ, nếu đang tính đạo hàm cho W1, thì sẽ lấy X[:, 0].",Đạo hàm trong học máy,mechanism,medium,,2,d208XcqDgDI,https://www.youtube.com/watch?v=d208XcqDgDI,0:09:44,0:11:27,3,7IdTMLLCPxw,https://www.youtube.com/watch?v=7IdTMLLCPxw,0:00:13,0:01:17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q019,CS114,Sự khác biệt chính giữa Pearson correlation và Jaccard trong việc xử lý dữ liệu thiếu là gì?,"Pearson correlation xử lý tốt hơn vấn đề dữ liệu thiếu và thiên lệch trung bình, trong khi Jaccard không có khả năng này.",Sự khác biệt giữa các phương pháp tính toán.,comparison,medium,,2,DAFPEgXUqSc,https://www.youtube.com/watch?v=DAFPEgXUqSc,0:06:50,0:08:01,3,lIePeARVnH0,https://www.youtube.com/watch?v=lIePeARVnH0,0:08:28,0:09:19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q020,CS114,Tại sao không nên sử dụng Mean Square Error (MSE) cho các bài toán dự đoán nhị phân?,"Bởi vì trong các bài toán này, MSE có thể dẫn đến sai số không chính xác. Ví dụ, nếu y = 0 và p = 1, sai số sẽ là 1, trong khi hàm mất mát binary cross-entropy sẽ cho kết quả khác.",So sánh hàm mất mát,comparison,medium,,5,EarBLLqMgLg,https://www.youtube.com/watch?v=EarBLLqMgLg,0:01:05,0:02:11,3,oxjqoqQ79O4,https://www.youtube.com/watch?v=oxjqoqQ79O4,0:07:57,0:09:01,3,xptu0eq_CXQ,https://www.youtube.com/watch?v=xptu0eq_CXQ,0:02:42,0:03:33,3,9Iv6TuyWU5g,https://www.youtube.com/watch?v=9Iv6TuyWU5g,0:00:13,0:01:24,3,I2JXWweJm0g,https://www.youtube.com/watch?v=I2JXWweJm0g,0:03:55,0:05:06,1,,,,,,,,,,,,,,,,
q021,CS114,Biến nào trong mô hình hồi quy tuyến tính được gọi là biến độc lập?,"Biến độc lập là biến đầu vào, ký hiệu là x, dùng để dự đoán giá trị của biến phụ thuộc.",Mô hình hồi quy tuyến tính,definition,easy,,5,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:12:58,0:13:51,3,oxjqoqQ79O4,https://www.youtube.com/watch?v=oxjqoqQ79O4,0:03:56,0:04:55,3,wBAm3lczqXs,https://www.youtube.com/watch?v=wBAm3lczqXs,0:01:03,0:01:50,1,uyUMxrFwKCE,https://www.youtube.com/watch?v=uyUMxrFwKCE,0:00:13,0:01:07,2,A6vU3I4CK6U,https://www.youtube.com/watch?v=A6vU3I4CK6U,0:02:16,0:03:16,3,,,,,,,,,,,,,,,,
q022,CS114,Feature engineering là gì và tại sao nó lại quan trọng trong việc xây dựng mô hình học máy?,"Feature engineering là quá trình tạo ra hoặc biến đổi các đặc trưng đầu vào cho mô hình, và nó có thể quan trọng hơn cả việc lựa chọn thuật toán vì nó giúp mô hình khai thác các mối quan hệ phức tạp trong dữ liệu mà mô hình tuyến tính có thể bỏ qua.",Feature Engineering,definition,medium,,5,F_EdKKp8Rb4,https://www.youtube.com/watch?v=F_EdKKp8Rb4,0:06:20,0:07:21,3,wBAm3lczqXs,https://www.youtube.com/watch?v=wBAm3lczqXs,0:10:57,0:11:37,3,gSbV7SypJa4,https://www.youtube.com/watch?v=gSbV7SypJa4,0:02:04,0:02:57,1,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:04:30,0:05:21,1,zTEi9Q92mdg,https://www.youtube.com/watch?v=zTEi9Q92mdg,0:01:20,0:02:13,1,,,,,,,,,,,,,,,,
q023,CS114,Mục tiêu chính trong học có giám sát khi ánh xạ từ đầu vào x sang nhãn y là gì?,Mục tiêu chính là tìm một hàm để ánh xạ từ x sang y.,Học có giám sát,definition,medium,,4,gK8D6uEJdho,https://www.youtube.com/watch?v=gK8D6uEJdho,0:01:24,0:02:17,3,hrxNKadDpw4,https://www.youtube.com/watch?v=hrxNKadDpw4,0:02:33,0:03:29,3,Ql0n4t39rAU,https://www.youtube.com/watch?v=Ql0n4t39rAU,0:00:00,0:01:40,3,kJnJszwQlz8,https://www.youtube.com/watch?v=kJnJszwQlz8,0:01:54,0:02:41,3,,,,,,,,,,,,,,,,,,,,,
q024,CS114,"Khi độ sâu của cây quyết định tăng lên, khả năng phân loại của nó sẽ thay đổi như thế nào?","Khi độ sâu tăng, cây quyết định có khả năng phân loại tốt hơn và tạo ra các vùng phân loại phức tạp hơn.",Decision Trees,mechanism,medium,,3,i0v_PbwMiBs,https://www.youtube.com/watch?v=i0v_PbwMiBs,0:10:09,0:11:04,3,gSbV7SypJa4,https://www.youtube.com/watch?v=gSbV7SypJa4,0:03:28,0:04:03,3,zTEi9Q92mdg,https://www.youtube.com/watch?v=zTEi9Q92mdg,0:03:22,0:04:14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
q025,CS114,"Trong học máy, điều gì có thể xảy ra với hàm loss khi các mẫu dữ liệu triệt tiêu lẫn nhau?","Khi các mẫu dữ liệu triệt tiêu lẫn nhau, hàm loss có thể cho kết quả sai số bằng 0, mặc dù thực tế có thể có sai số lớn hơn.",Hàm loss trong học máy,mechanism,medium,,3,I2JXWweJm0g,https://www.youtube.com/watch?v=I2JXWweJm0g,0:03:18,0:04:06,3,m8uqtMEg8-E,https://www.youtube.com/watch?v=m8uqtMEg8-E,0:03:47,0:04:56,3,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:16:54,0:17:50,1,,,,,,,,,,,,,,,,,,,,,,,,,,
q026,CS114,"Khi các điểm thuộc cùng một lớp được đưa vào mô hình phân loại, giá trị của hàm quyết định sẽ như thế nào?",Giá trị của hàm quyết định sẽ lớn hơn 0 cho các điểm thuộc lớp dương và nhỏ hơn 0 cho các điểm thuộc lớp âm.,Ý nghĩa hình học của mô hình phân loại,mechanism,medium,,2,IReTdn_z-es,https://www.youtube.com/watch?v=IReTdn_z-es,0:02:40,0:03:27,3,zTEi9Q92mdg,https://www.youtube.com/watch?v=zTEi9Q92mdg,0:06:12,0:07:11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q027,CS114,Học máy là gì và nó có những đặc điểm nào nổi bật?,"Học máy là lĩnh vực nghiên cứu và phát triển các thuật toán và hệ thống có khả năng tự động khám phá mẫu hình từ dữ liệu, cải thiện hiệu suất qua thời gian nhờ kinh nghiệm tích lũy, và sử dụng các mẫu hình này để dự đoán dữ liệu chưa thấy hoặc thực hiện các tác vụ ra quyết định trong điều kiện không chắc chắn. Các đặc điểm nổi bật bao gồm khả năng tự động hóa, cải thiện hiệu suất qua thời gian, và khám phá mẫu hình từ dữ liệu.",Khái niệm học máy,definition,medium,,5,it7jk54r_N8,https://www.youtube.com/watch?v=it7jk54r_N8,0:02:38,0:03:16,3,Wi3K4XkzqTA,https://www.youtube.com/watch?v=Wi3K4XkzqTA,0:01:01,0:01:52,3,u3GD0b9vCDo,https://www.youtube.com/watch?v=u3GD0b9vCDo,0:02:10,0:03:07,3,KJJ6eFW1nV0,https://www.youtube.com/watch?v=KJJ6eFW1nV0,0:07:30,0:09:42,1,lAsAS0ChePY,https://www.youtube.com/watch?v=lAsAS0ChePY,0:10:41,0:11:20,2,,,,,,,,,,,,,,,,
q028,CS114,Cách cập nhật tham số W trong hồi quy tuyến tính là gì?,Tham số W được cập nhật bằng cách lấy W trừ đi alpha nhân với đạo hàm của W.,Hồi quy tuyến tính,mechanism,medium,,8,JqHpAp-xdu0,https://www.youtube.com/watch?v=JqHpAp-xdu0,0:07:13,0:08:18,3,rVJXIPI3laA,https://www.youtube.com/watch?v=rVJXIPI3laA,0:02:22,0:03:24,3,A6vU3I4CK6U,https://www.youtube.com/watch?v=A6vU3I4CK6U,0:06:58,0:07:54,3,wdIjgotVuQM,https://www.youtube.com/watch?v=wdIjgotVuQM,0:18:59,0:19:53,3,GRB4B1tWnEo,https://www.youtube.com/watch?v=GRB4B1tWnEo,0:04:43,0:05:43,2,xgJniBOVdL8,https://www.youtube.com/watch?v=xgJniBOVdL8,0:00:56,0:02:08,2,d208XcqDgDI,https://www.youtube.com/watch?v=d208XcqDgDI,0:12:23,0:13:40,3,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:24:29,0:25:13,3,
q029,CS114,Mean normalization là gì và công thức của nó như thế nào?,"Mean normalization là một kỹ thuật chuẩn hóa dữ liệu giúp đưa dữ liệu về quanh số 0, dựa vào mức độ trung bình và độ rộng của khoảng giá trị. Công thức được xác định bằng cách lấy giá trị gốc trừ đi giá trị trung bình của feature, sau đó chia cho khoảng giá trị lớn nhất trừ đi giá trị nhỏ nhất của feature.",Mean Normalization,definition,medium,,2,m2XJJvGxll8,https://www.youtube.com/watch?v=m2XJJvGxll8,0:06:44,0:07:36,3,wBAm3lczqXs,https://www.youtube.com/watch?v=wBAm3lczqXs,0:07:36,0:08:25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q030,CS114,Tham số nào trong mô hình SVM giúp cân bằng giữa độ rộng của margin và lỗi phân loại?,Tham số C.,Mô hình SVM,definition,medium,,3,mEMcmVX3hwg,https://www.youtube.com/watch?v=mEMcmVX3hwg,0:07:48,0:08:54,3,i0v_PbwMiBs,https://www.youtube.com/watch?v=i0v_PbwMiBs,0:13:10,0:14:05,1,rzKMT_sUg7Q,https://www.youtube.com/watch?v=rzKMT_sUg7Q,0:04:29,0:05:25,3,,,,,,,,,,,,,,,,,,,,,,,,,,
q031,CS114,Tham số bias trong mô hình dự đoán có vai trò gì?,"Bias giúp điều chỉnh giá trị đầu ra của mô hình, cho phép nó không chỉ phụ thuộc vào các biến đầu vào mà còn có thể điều chỉnh theo nhiều yếu tố khác.",Vai trò của tham số trong mô hình dự đoán,mechanism,medium,,6,m_jt8-LpwLs,https://www.youtube.com/watch?v=m_jt8-LpwLs,0:03:30,0:04:27,3,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:13:42,0:14:46,3,uyUMxrFwKCE,https://www.youtube.com/watch?v=uyUMxrFwKCE,0:05:29,0:06:28,1,wBAm3lczqXs,https://www.youtube.com/watch?v=wBAm3lczqXs,0:01:03,0:01:50,1,zTEi9Q92mdg,https://www.youtube.com/watch?v=zTEi9Q92mdg,0:02:43,0:03:32,2,F_EdKKp8Rb4,https://www.youtube.com/watch?v=F_EdKKp8Rb4,0:00:50,0:01:46,2,,,,,,,,,,,
q032,CS114,Nhược điểm nào của PCA liên quan đến việc xử lý các giá trị ngoại lai?,"PCA nhạy cảm với các giá trị ngoại lai, khi tối ưu hóa phương sai, các giá trị ngoại lai có thể làm sai lệch hướng của các thành phần chính.",Nhược điểm của PCA,exception,medium,,3,N3ulTwujJH4,https://www.youtube.com/watch?v=N3ulTwujJH4,0:01:18,0:01:49,3,m2XJJvGxll8,https://www.youtube.com/watch?v=m2XJJvGxll8,0:08:15,0:09:12,3,SINj0Z-2acc,https://www.youtube.com/watch?v=SINj0Z-2acc,0:01:29,0:02:20,2,,,,,,,,,,,,,,,,,,,,,,,,,,
q033,CS114,Làm thế nào để điều chỉnh hồ sơ người dùng dựa trên độ lệch so với mức trung bình?,"Hồ sơ người dùng được điều chỉnh theo độ lệch so với mức trung bình bằng cách xem xét các sản phẩm đã được đánh giá, từ đó thể hiện sở thích đặc biệt của người dùng.",Hồ sơ người dùng,mechanism,medium,,4,n8MHFQuTKMU,https://www.youtube.com/watch?v=n8MHFQuTKMU,0:05:18,0:06:01,3,DAFPEgXUqSc,https://www.youtube.com/watch?v=DAFPEgXUqSc,0:05:03,0:06:21,3,xptu0eq_CXQ,https://www.youtube.com/watch?v=xptu0eq_CXQ,0:00:18,0:01:11,1,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:25:47,0:26:01,1,,,,,,,,,,,,,,,,,,,,,
q034,CS114,Hàm sigmoid có đặc điểm gì nổi bật trong việc tính đạo hàm?,Đạo hàm của hàm sigmoid được tính bằng hàm sigmoid nhân với 1 trừ đi hàm sigmoid.,Đặc điểm của hàm sigmoid,mechanism,medium,,2,NCSIAbS9gWs,https://www.youtube.com/watch?v=NCSIAbS9gWs,0:02:04,0:03:05,3,40kpU65MMoI,https://www.youtube.com/watch?v=40kpU65MMoI,0:11:48,0:13:14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q035,CS114,Google Colab là gì và nó có những tính năng nổi bật nào?,"Google Colab là nền tảng lập trình Python trên đám mây, tương tự như Jupyter Notebook. Nó hỗ trợ GPU/TPU miễn phí, dễ chia sẻ và tích hợp với Google Drive.",Google Colab,definition,medium,,5,Npf5IvqeXH8,https://www.youtube.com/watch?v=Npf5IvqeXH8,0:00:13,0:01:09,3,cPenwbVXQGM,https://www.youtube.com/watch?v=cPenwbVXQGM,0:00:13,0:01:23,3,v3ArDvxkL-U,https://www.youtube.com/watch?v=v3ArDvxkL-U,0:00:13,0:00:58,3,_BGaEHA1U6s,https://www.youtube.com/watch?v=_BGaEHA1U6s,0:05:20,0:06:14,3,lAsAS0ChePY,https://www.youtube.com/watch?v=lAsAS0ChePY,0:11:17,0:12:08,1,,,,,,,,,,,,,,,,
q036,CS114,Một neuron trong mạng nơ-ron có ý nghĩa gì?,"Nó hoạt động như một bộ phân loại yếu, nhưng khi kết hợp nhiều bộ phân loại yếu lại với nhau, nó sẽ tạo ra một bộ phân loại mạnh.",Ý nghĩa của neuron trong mạng nơ-ron,definition,medium,,4,NQkR51-HyOg,https://www.youtube.com/watch?v=NQkR51-HyOg,0:04:17,0:05:20,3,40kpU65MMoI,https://www.youtube.com/watch?v=40kpU65MMoI,0:08:58,0:10:14,3,cPenwbVXQGM,https://www.youtube.com/watch?v=cPenwbVXQGM,0:00:23,0:01:39,1,fazKT_4josc,https://www.youtube.com/watch?v=fazKT_4josc,0:03:52,0:04:40,2,,,,,,,,,,,,,,,,,,,,,
q037,CS114,"Trong thuật toán K-Means, giá trị trung bình của một cụm được tính như thế nào?",Giá trị trung bình của một cụm trong thuật toán K-Means được tính bằng cách lấy tổng tất cả các điểm dữ liệu trong cụm và chia cho số lượng điểm dữ liệu trong cụm đó.,K-Means Clustering,mechanism,medium,,1,o7R9x8C9SSo,https://www.youtube.com/watch?v=o7R9x8C9SSo,0:04:48,0:05:50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
